0.7633184#MBR(14076 13433,14076 14066,14696 14066,14696 13433,14076 13433)#58
0.8304098#MBR(14415 12813,14415 13438,15190 13438,15190 12813,14415 12813)#67
0.7603464#MBR(14737 11800,14737 12461,15363 12461,15363 11800,14737 11800)#56
0.788424#MBR(13073 12184,13073 12793,13754 12793,13754 12184,13073 12184)#58
0.75959826#MBR(12817 11192,12817 11526,13494 11526,13494 11192,12817 11192)#54
0.74277955#MBR(14097 10550,14097 10885,14716 10885,14716 10550,14097 10550)#51
0.80212444#MBR(14078 15392,14078 16324,14992 16324,14992 15392,14078 15392)#78
0.83809507#MBR(13460 15357,13460 16618,14087 16618,14087 15357,13460 15357)#87
0.8085964#MBR(12889 16002,12889 16631,13439 16631,13439 16002,12889 16002)#64
0.8002547#MBR(11513 16649,11513 17270,11992 17270,11992 16649,11513 16649)#57
0.7815748#MBR(11832 16634,11832 17236,12455 17236,12455 16634,11832 16634)#58
0.8008095#MBR(12169 15374,12169 16323,12803 16323,12803 15374,12169 15374)#81
0.75847095#MBR(10886 15743,10886 16479,11526 16479,11526 15743,10886 15743)#52
0.79860616#MBR(10921 16647,10921 17176,11520 17176,11520 16647,10921 16647)#53
0.79561394#MBR(7416 15365,7416 19397,12326 19397,12326 15365,7416 15365)#54
0.78057784#MBR(8764 16159,8764 17886,10242 17886,10242 16159,8764 16159)#53
0.775316#MBR(9608 16636,9608 17222,10246 17222,10246 16636,9608 16636)#51
0.72783935#MBR(8325 14721,8325 15367,8890 15367,8890 14721,8325 14721)#53
0.7730671#MBR(7678 12796,7678 13432,8883 13432,8883 12796,7678 12796)#89
0.78621936#MBR(8677 12801,8677 14004,9508 14004,9508 12801,8677 12801)#82
0.7236696#MBR(9126 13437,9126 14089,9904 14089,9904 13437,9126 13437)#59
0.7340537#MBR(9354 12164,9354 12633,10072 12633,10072 12164,9354 12164)#57
0.76710534#MBR(9302 11834,9302 12483,9606 12483,9606 11834,9302 11834)#51
0.7245521#MBR(9598 11482,9598 12150,10229 12150,10229 11482,9598 11482)#51
0.7531428#MBR(8006 10245,8006 10878,8958 10878,8958 10245,8006 10245)#71
0.7686971#MBR(7044 12162,7044 12799,8000 12799,8000 12162,7044 12162)#62
0.72352785#MBR(7030 11513,7030 12163,7682 12163,7682 11513,7030 11513)#63
0.774246#MBR(6708 10256,6708 10862,7360 10862,7360 10256,6708 10256)#53
0.7891203#MBR(44310 9489,44310 10244,45056 10244,45056 9489,44310 9489)#74
0.8112712#MBR(44216 8313,44216 8966,44806 8966,44806 8313,44216 8313)#54
0.7610728#MBR(44481 7677,44481 8607,45056 8607,45056 7677,44481 7677)#67
0.79235256#MBR(42517 8958,42517 9586,43042 9586,43042 8958,42517 8958)#54
0.7630599#MBR(43191 12318,43191 12804,43525 12804,43525 12318,43191 12318)#52
0.7735391#MBR(43205 11834,43205 12323,43519 12323,43519 11834,43205 11834)#54
0.7150703#MBR(43529 11128,43529 11524,44003 11524,44003 11128,43529 11128)#52
0.7701191#MBR(44962 10560,44962 11514,45647 11514,45647 10560,44962 10560)#53
0.7268252#MBR(44164 12150,44164 12485,44804 12485,44804 12150,44164 12150)#59
0.74268425#MBR(44481 12794,44481 13441,45133 13441,45133 12794,44481 12794)#53
0.7733567#MBR(44167 14708,44167 15205,44715 15205,44715 14708,44167 14708)#57
0.7614283#MBR(42381 13425,42381 13833,42868 13833,42868 13425,42381 13425)#51
0.7606957#MBR(40962 12801,40962 13761,41603 13761,41603 12801,40962 12801)#87
0.7523532#MBR(41302 14069,41302 14521,42164 14521,42164 14069,41302 14069)#68
0.74333245#MBR(41291 14720,41291 15366,41918 15366,41918 14720,41291 14720)#52
0.7733135#MBR(40962 14739,40962 15681,41446 15681,41446 14739,40962 14739)#64
0.75166804#MBR(41600 15379,41600 16001,42238 16001,42238 15379,41600 15379)#56
0.79704577#MBR(43111 16000,43111 16468,43517 16468,43517 16000,43111 16000)#58
0.8140149#MBR(42243 16317,42243 17143,42568 17143,42568 16317,42243 16317)#68
0.83293945#MBR(42244 19533,42244 20437,42560 20437,42560 19533,42244 19533)#52
0.8278585#MBR(42406 19849,42406 20479,43043 20479,43043 19849,42406 19849)#56
0.8299556#MBR(43040 18555,43040 19287,43513 19287,43513 18555,43040 18555)#53
0.78111464#MBR(44164 18234,44164 18570,44799 18570,44799 18234,44164 18234)#51
0.77123165#MBR(44150 18356,44150 18876,44612 18876,44612 18356,44150 18356)#52
0.7480197#MBR(43840 18400,43840 20070,45703 20070,45703 18400,43840 18400)#57
0.79593784#MBR(44795 16641,44795 18477,45331 18477,45331 16641,44795 16641)#54
0.8020142#MBR(45115 15997,45115 16639,45754 16639,45754 15997,45115 15997)#73
0.7857306#MBR(42246 21766,42246 22723,42869 22723,42869 21766,42246 21766)#53
0.78352964#MBR(42243 20489,42243 21335,42886 21335,42886 20489,42243 20489)#59
0.7876276#MBR(42241 21121,42241 21761,42870 21761,42870 21121,42241 21121)#56
0.7859914#MBR(40967 21842,40967 22411,41601 22411,41601 21842,40967 21842)#51
0.7972735#MBR(41278 21754,41278 22397,42248 22397,42248 21754,41278 21754)#62
0.8327437#MBR(40962 22395,40962 23798,42364 23798,42364 22395,40962 22395)#79
